	Component_1	Component_2	Component_3	Component_4	Component_5	Component_6	Component_7	Component_8	Component_9	Component_10	Component_11	Component_12	Component_13	Component_14	Component_15	Component_16	Component_17	Component_18	Component_19	Component_20	Component_21	Component_22	Component_23	Component_24	Component_25	Component_26	Component_27	Component_28	Component_29	Component_30	Component_31	Component_32	Component_33	Component_34	Component_35	Component_36	Component_37	Component_38	Component_39	Component_40	Component_41	Component_42	Component_43	Component_44	Component_45	Component_46	Component_47	Component_48	Component_49	Component_50	Component_51	Component_52	Component_53	Component_54	Component_55	Component_56	Component_57	Component_58	Component_59	Component_60	Component_61	Component_62	Component_63	Component_64	Component_65	Component_66	Component_67	Component_68	Component_69	Component_70	Component_71	Component_72	Component_73	Component_74	Component_75	Component_76	Component_77	Component_78	Component_79	Component_80	Component_81	Component_82	Component_83	Component_84	Component_85	Component_86	Component_87	Component_88	Component_89	Component_90	Component_91	Component_92	Component_93	Component_94	Component_95	Component_96	Component_97	Component_98	Component_99	Component_100	label
GSM6249277	-0.10751317	0.88300884	-0.18315804	-1.2205241	1.1805959	0.58840245	-0.2173029	-0.018722994	-0.06103374	0.9249928	0.11796104	-0.64425105	-0.24548432	-0.40160555	-0.19699036	0.021979103	1.026849	-0.15936783	-0.031368345	1.1206632	-0.33829945	-0.5472043	0.062338054	0.92400444	0.56589884	0.40763292	0.7846492	-1.0123674	0.3484792	0.6219469	-0.9714187	0.4639106	0.14185391	0.43714064	0.16279617	-0.23332383	0.41155654	0.42793462	1.1947808	0.319533	-0.96373636	-0.47147304	0.025118258	-0.33570012	-0.49531144	-0.57543206	0.2779218	0.010880884	0.6627061	-0.47416472	-0.71004796	-0.29008403	0.5611946	0.2743829	0.13056082	0.21907675	0.3109856	-0.21557915	-0.21785997	-0.38489503	0.13886242	0.6019952	0.85094756	-0.15339276	0.722655	1.002111	0.016790578	0.2801045	-0.50706244	0.70258546	0.5845715	0.32613656	-0.99895155	-0.13470753	-0.1502272	-0.25858498	-0.70401585	-0.51015925	-0.47124976	0.2004826	-0.14405178	0.023181938	0.54036117	0.23096575	0.30900887	0.10749749	-0.21604784	0.9278629	0.3148156	-0.65547836	-0.74759185	-0.06177742	-0.16523252	-1.6627631	0.34590515	-0.40660006	-0.27243143	0.43175444	-0.02758406	-0.7908343	0.0
GSM6249278	0.31350067	0.014298412	0.38163868	-0.070754714	0.08038825	0.042084347	0.09531543	0.3453676	-0.25606623	0.07122617	0.18552923	-0.06911253	0.27263525	0.30487713	-0.04481221	-0.16396351	0.24414884	0.07638626	-0.16917565	-0.00039274374	-0.24230996	0.61502624	0.4082602	0.03308141	0.21895143	0.38781968	-0.12655385	0.5378833	-0.6916162	-0.06510569	-0.118011594	-0.3175807	-0.5278854	-0.05669929	0.17751722	-0.18182842	-0.3629	0.12548395	0.027777933	-0.23440401	0.45420855	0.42139763	0.49291992	-0.054011736	0.24644056	-0.09316064	0.40231365	-0.016662607	-0.19450437	-0.026168372	0.30683887	0.1286664	-0.13236095	-0.5074155	0.42357144	-0.082163334	0.081231445	0.3994245	-0.2856749	0.11886367	-0.27240995	0.33167368	0.8922481	-0.15785658	-0.4318264	0.0069624474	0.13141747	-0.24360576	0.42523894	0.21577743	0.2550805	0.486034	0.488469	-0.49536914	0.13866043	0.27948868	-0.0946489	0.5240019	-0.028334342	-0.36047515	0.27720433	0.16143017	-0.9342303	-0.47988307	-0.032291193	0.1511219	0.43975884	0.51800317	0.059585355	0.09617286	0.48284024	-0.26613796	0.260266	0.31811294	0.64553523	0.057327565	0.089200675	-0.056869823	0.64407706	-0.20178202	0.0
GSM6249280	0.3990991	0.22460909	0.6459544	-0.18409474	0.15709165	0.4356941	0.25482762	0.24077797	-0.10400524	0.17077783	0.1764393	-0.1519903	0.71755916	-0.053003427	0.57655036	-1.0763224	0.05594737	-0.00019620973	-0.24054895	0.58835614	-0.20431353	-0.22281243	0.9570917	0.9687255	-0.44888386	0.5121992	0.8406362	-0.30882546	-0.42849427	-0.6454475	0.03587504	-0.15336451	0.068591654	0.27023232	-0.15660621	-0.5500241	0.005807824	0.13413438	-0.14230365	-0.14381287	0.1655265	-0.44382718	0.028268581	-0.44150364	-0.066356614	-0.007962845	-0.037247542	-0.022323277	-0.1441241	-0.56170654	-0.07459296	-0.15142411	-0.44942987	1.0547506	0.5043168	0.33586815	0.5663926	0.18810292	-0.023382114	-0.008166604	0.13506225	0.75538665	-0.11883627	0.11873387	0.2370004	0.35612774	-0.5026918	-0.037974324	0.38541055	0.62622964	-0.42243978	-0.12881675	0.34641096	0.24030477	0.40593335	0.14667132	-0.9128198	0.31505448	-0.15607364	0.3180051	0.097061776	0.17425127	-0.6936545	0.31591603	1.2237434	-0.8232662	0.082435295	-0.35598662	0.4481499	0.3195066	0.3651955	0.3627386	-0.13507383	-0.64879185	0.32464638	-0.28208637	0.27008805	0.5960879	0.07209555	-0.59563476	0.0
GSM6249281	-0.8441571	0.25093293	-0.4254185	-0.037498876	0.037256736	0.6452028	0.0032277685	0.75445116	0.24000147	-0.40567172	0.29610336	0.28605616	0.047434364	-0.2242593	0.23869659	0.7717447	-0.020156788	-0.13580368	0.8023166	-0.3326186	0.047244985	0.1758689	-0.27086842	0.52203953	0.5067397	-0.4229143	0.23808366	-0.06517125	0.014091079	0.45914525	0.09052126	-0.006454961	-0.26064757	0.041836698	-0.0067942124	-0.5372227	0.5458208	-0.2744619	-0.40013802	0.288913	-0.7349452	-0.5315521	-0.61131555	0.49148464	0.09107171	-0.121183455	-0.27298453	0.34181166	-0.04935133	0.08243704	-0.1122261	0.23229805	0.079963505	0.007245903	0.24150814	0.4215772	-0.45193374	-0.5950333	0.19494018	0.18486105	0.43954784	-0.1079463	-0.5184051	-0.10315417	0.3013243	-0.19869454	-0.35808724	0.15313192	-0.5637633	-0.54220873	0.103371404	-0.002228862	-0.108338885	-0.35898262	-0.31482452	0.6242478	-0.11609211	0.16181067	0.35338053	-0.15953597	-0.031857926	-0.33759937	-0.3921009	-0.64775103	-0.7860055	0.5308749	-0.47173172	0.4360015	0.62580025	0.39964572	0.22161843	0.6423198	0.64653516	0.7105498	-0.12230015	0.6408457	0.24252616	-0.26278743	0.023637261	0.47083572	0.0
GSM6249282	0.3859871	-0.29455116	-0.3507194	0.70376384	-0.1383871	-0.59428895	-0.009230294	0.40073633	-0.39789733	0.82287925	-0.95033926	-1.0456098	-0.8922146	-0.1587867	0.7174069	-0.22711231	-0.064859144	0.78557676	-0.12349503	-0.28627908	-0.045558356	-0.37971294	0.27411547	0.109944224	-0.21862645	0.392412	0.18361643	-1.1870391	0.4790866	0.50268334	-0.11248496	-0.18343015	0.03985003	1.2777913	-0.3477012	-0.3158063	0.31014526	0.6460661	0.16762556	0.08337897	-0.45836312	0.15729563	0.38235784	0.4056664	-0.16132142	0.6804216	-0.33978146	-0.19232017	0.41536576	0.06207774	-0.18576182	0.7829802	0.1934972	0.44569784	-0.48557004	-0.008404841	0.50145215	-0.8661405	-0.11438633	-0.29862377	-0.16128923	0.22135675	0.029753668	-0.01754095	-0.300294	1.3332182	-0.1720039	-0.8839335	0.23370858	-0.18629256	-0.18439966	-0.1463727	-0.034795996	0.40872288	-0.09671439	-0.034680113	0.13636073	0.028416678	-0.52485967	-0.0082474835	0.3460892	0.017875941	-0.19301642	-0.06456448	0.11922972	-0.24653614	-0.18103392	0.64948404	-0.12114956	0.71976846	-0.38267267	0.36986965	-0.5102899	-0.58603173	-0.2387936	0.10968862	0.22715233	1.1622736	0.0001445424	0.59932923	0.0
GSM6249284	0.96347606	0.063049175	0.2525675	0.12318553	-0.59566694	-0.17330648	0.17147745	0.32263184	-0.37444884	0.9998001	0.9421945	-0.3016261	-0.49789423	0.6006692	0.88835645	-0.3222042	1.1239457	-0.3229925	0.99849975	0.5325508	-0.16105968	-0.34805685	-0.5303948	-0.37211385	0.9201257	-0.17214365	-0.7015506	-0.602003	-0.50276285	0.5787977	-0.3993524	-0.50892735	0.77360713	-0.32518753	0.7248395	-0.5043928	-0.1872071	0.07260466	-0.17725696	-0.091724046	-0.18806085	-0.0073779225	0.50768995	-0.037512787	-0.17814371	-0.41720343	0.3895129	0.20492628	0.6255156	-0.3522833	-0.31445134	-0.46528053	0.48614913	0.15245774	0.28413138	0.30743396	-0.54262227	-0.4320973	0.7868577	0.7836035	0.17645977	0.2871289	0.63863677	-0.3931517	0.088425875	0.6257349	-0.25844744	-0.37093347	0.64675313	0.50331664	0.10122021	0.3248683	-0.104241	-0.9210286	0.8009241	0.575652	0.02766678	0.29202148	-0.07717599	-0.06450512	-0.119395085	0.28701738	0.20120381	-0.4919074	0.45297372	-0.242764	-0.09601198	1.076022	-0.23638274	-0.26213264	0.70266175	0.53450394	0.6823737	0.5102366	0.20952366	0.6960856	0.3483702	0.27968487	-0.06385186	0.31736672	1.0
GSM6249285	-0.18727909	0.29074925	0.10704341	-0.5460169	0.23701714	-0.08399074	0.19890258	0.5809773	-0.26712537	0.44351417	0.19972438	-0.5069684	-0.50282055	0.5389797	-0.13398594	0.61581105	-0.17414573	0.9534283	0.6786857	-0.1815652	-1.072246	0.053088598	0.5946494	0.010684313	0.07217421	0.03748059	0.504739	-0.048664667	-0.79424655	0.124085724	-0.59636295	-0.5470879	0.35962287	0.030610355	0.8195715	-0.49445933	0.62546784	0.8645908	0.8360525	0.32091737	-0.36466065	-0.6999127	0.009985504	-0.14926577	-0.6868249	-0.28826	-0.21057533	0.22873838	0.07269465	-0.079378344	0.49924797	-0.37727547	-0.4154626	0.274059	1.005574	-0.037224755	0.008701501	0.18143946	-0.27630067	0.38531327	-0.10637599	-0.23181045	-0.82412565	0.16870412	-0.072040424	0.96225613	0.011118524	-0.5268835	-0.25155795	-1.1708844	0.055813525	0.25102726	0.69267464	0.6158244	0.26230314	0.5439657	-0.4900722	-0.5159545	0.91477525	-0.4605043	0.9303476	0.2998657	0.46330062	0.27734652	0.31055847	-0.13862252	-0.08798679	-0.4877352	-0.18158482	-0.7859791	0.26417992	0.045850284	-0.67713547	0.1682992	0.5039097	0.011724454	-1.4149175	0.0561238	-0.4569596	-0.064003386	0.0
GSM6249286	-0.20168315	0.081623435	-0.56853724	-0.18534748	0.41430724	-0.5520969	0.051806465	0.27318633	0.3035481	-0.065882325	0.13879877	0.36345908	-0.59309185	-0.16639979	0.6765154	-0.017006258	0.13982154	0.040842265	-0.040503323	-0.32711038	0.106438555	0.081389815	-0.22438149	0.3207131	0.44146338	-0.41951358	0.58931506	0.43154135	0.25675955	-0.00092976034	0.11809793	0.41217571	-0.43037206	0.58298254	0.32176948	-0.050999973	-0.18226898	-0.53519154	-0.4438753	-0.11071502	-0.07798335	0.060394283	0.11341783	-0.734312	0.094429865	-0.004610481	0.76719046	-0.47374636	-0.350845	0.2440286	-0.71052396	-0.35675946	-0.69230986	-0.5655739	-0.74645185	0.37960982	0.81821024	0.5725256	-0.69513124	0.30847186	-0.37905365	-0.06646929	-0.033374492	0.57508385	0.35053492	0.19175771	0.6728311	0.1373945	0.14725196	-0.21469752	0.25532368	-0.21842591	0.027967576	0.44538844	0.15242878	-0.5658734	-0.17985372	-0.14472605	-0.6365476	-0.044050988	0.24324133	0.11090442	-0.46230364	-0.22988522	0.39130875	-0.36796296	0.18339275	0.41882935	-0.11187034	-0.18723443	-0.2995852	0.39594772	0.1145433	-0.26951075	0.19217378	-0.58179355	0.43547872	0.29288214	0.34307474	-0.31198946	0.0
GSM6249289	0.57976395	0.13448241	0.40793857	-0.17434616	-0.54390246	0.05834465	-0.09681002	0.486602	0.2019101	-0.34862238	-0.30660126	-0.58888024	0.18306236	0.9226562	-0.0070494185	0.1372803	-0.5542494	0.7724242	0.15247169	0.2099213	-0.14839627	0.06499013	-0.009412459	0.08274997	-0.28649074	-0.19453084	0.012127073	0.42531538	-0.6042294	-0.18404835	0.3937044	-0.24177645	0.32829624	-0.28860754	0.4715016	0.12980019	0.60217047	0.4107667	-0.5533392	-0.10812917	0.09113388	-0.26070547	0.42550436	0.09513298	-0.40261957	-0.124840185	0.4851727	0.16842586	0.42333886	0.09870672	-0.040559538	0.049263738	-0.009013682	-0.00845989	0.43016207	0.15621297	-0.3146799	-0.35093433	0.3269532	0.4865963	0.43541571	-0.5503924	-0.11909969	-0.104646064	-0.022156643	-0.26969215	0.06609528	-0.34657058	0.59939563	-0.3796391	-0.10611247	0.29896337	0.32298738	-0.25644892	-0.94814104	0.22846809	-0.22512454	0.3732675	-0.09691391	0.014786344	-0.6746128	-0.033542342	0.13374564	0.21167329	-0.24259113	0.44761097	0.7902718	-0.30245054	0.15257189	0.34868678	-0.051536094	-0.23055917	-0.550304	-0.014101223	-0.7609408	0.13832313	0.4181126	-0.047350526	-0.037180603	-0.5050479	0.0
GSM6249290	-0.6309186	-0.097728215	-0.6699377	-0.6315086	0.43160182	0.42588183	-0.41975567	0.44174072	0.17254649	-0.051621314	0.09986515	0.13447648	-0.27187574	0.1870049	0.43206477	0.417313	0.3978671	-0.8198719	-0.79264504	0.7122519	0.5385051	-0.1818972	-0.40335658	-0.016876642	0.20001599	-0.023576321	-0.37752	-0.6196367	0.40146708	0.08759679	-0.2818101	0.034646213	0.2720653	-0.0959537	-0.30343166	-0.07498244	0.31038424	0.7303964	-0.30658838	-0.72340024	-0.03804362	-0.56477624	0.62997067	0.67150784	0.17035164	1.1783932	0.35225657	-0.2389558	-0.3132286	0.12220813	-0.017394423	0.3162865	0.23203881	0.033800256	0.52492666	-0.21186802	0.069033	-0.40651006	0.04921414	-0.6119906	0.2080937	-0.16450861	0.8330546	-0.16388775	-0.78851575	0.1288507	-0.8547842	0.27193606	0.23004936	0.9115414	-0.67053956	0.06754833	-0.3061114	-0.34292835	-0.11085212	1.3380873	0.42785332	0.5520181	-0.22726025	0.65958387	0.51216114	-0.4880116	0.31621623	0.09205805	0.93489677	0.5982619	0.32489634	1.2717081	0.49042067	0.8095272	0.45684636	-0.06440186	-0.12717462	-0.062147018	0.06688195	0.2702567	-0.4379617	0.81572807	-1.325626	0.12538476	1.0
