	Component_1	Component_2	Component_3	Component_4	Component_5	Component_6	Component_7	Component_8	Component_9	Component_10	Component_11	Component_12	Component_13	Component_14	Component_15	Component_16	Component_17	Component_18	Component_19	Component_20	Component_21	Component_22	Component_23	Component_24	Component_25	Component_26	Component_27	Component_28	Component_29	Component_30	Component_31	Component_32	Component_33	Component_34	Component_35	Component_36	Component_37	Component_38	Component_39	Component_40	Component_41	Component_42	Component_43	Component_44	Component_45	Component_46	Component_47	Component_48	Component_49	Component_50	Component_51	Component_52	Component_53	Component_54	Component_55	Component_56	Component_57	Component_58	Component_59	Component_60	Component_61	Component_62	Component_63	Component_64	Component_65	Component_66	Component_67	Component_68	Component_69	Component_70	Component_71	Component_72	Component_73	Component_74	Component_75	Component_76	Component_77	Component_78	Component_79	Component_80	Component_81	Component_82	Component_83	Component_84	Component_85	Component_86	Component_87	Component_88	Component_89	Component_90	Component_91	Component_92	Component_93	Component_94	Component_95	Component_96	Component_97	Component_98	Component_99	Component_100	Component_101	Component_102	Component_103	Component_104	Component_105	Component_106	Component_107	Component_108	Component_109	Component_110	Component_111	Component_112	Component_113	Component_114	Component_115	Component_116	Component_117	Component_118	Component_119	Component_120	Component_121	Component_122	Component_123	Component_124	Component_125	Component_126	Component_127	Component_128	label
GSM3068464	0.48768744	-0.5604877	0.1904846	0.14633784	-0.62108415	0.43215433	0.644456	0.26105648	0.4213946	-0.68198246	-0.23251341	0.07580373	0.4861863	0.5234795	0.06655533	-0.19109899	0.2555001	0.3837344	-0.2383799	0.79553056	0.023103455	0.06150672	-0.08701747	0.23622054	-0.8259431	0.15087143	0.22570439	0.590788	-1.185238	2.210497	-0.14019336	0.8967935	-0.0641364	0.2684716	-0.09287939	-0.93376803	-0.14230311	-0.06440851	0.013274042	0.11137552	0.97334707	-0.5699192	-0.327461	0.2637019	-0.26089764	0.5139313	-1.7112865	-0.76458913	0.14721324	0.0032206478	2.7217393	0.102669425	0.37222838	0.2464265	-0.5139381	-0.16346307	1.0414876	1.1738154	-0.6619111	0.17949925	-0.1180227	0.8923115	-0.85390955	0.20833653	0.64429754	-1.9441049	1.0929143	-0.47324124	-0.49990773	-0.9375099	0.32855067	-0.72578704	0.061910246	0.34656757	0.41109917	0.05528787	0.20639266	-0.24133569	0.69666654	1.2828712	-0.23655458	-0.011038151	-0.24059899	-0.09861956	-0.41321576	-0.13599938	0.48289827	0.74799204	0.27120787	0.18535534	0.03473946	0.28848976	-1.9138011	0.9090311	1.3287778	-1.0713687	0.60461175	0.15930821	1.1274333	-0.8963059	-0.24340993	0.19959585	0.3831314	0.0780696	-0.561391	-0.016952116	0.2809475	-0.4077761	-0.16638553	0.08442098	-0.13607173	0.2303434	0.35440114	0.61795217	-0.10130667	-0.24150197	0.23173119	0.95333457	-0.81286657	-0.44542664	-0.91562307	0.19222961	-1.3997824	-0.78259224	0.20107815	0.55103004	0.26343688	0.0810764	0.0
GSM3068465	0.0058113732	0.061110873	0.25727007	-0.044457704	-0.2649306	0.31353876	0.376573	0.26135516	0.4877322	-0.58763176	-0.06241975	0.17143427	0.06106309	-0.071327515	-0.09764974	0.012629739	-0.04970123	0.12459038	0.28005034	-0.105871305	-0.026964504	0.025784735	0.35708028	0.1509112	-0.75432277	0.15295465	-0.037431993	-0.02640373	-1.2919147	2.5820422	-0.05548293	0.2759706	0.033405412	0.19115312	-0.14361824	-0.97760737	0.09605773	0.33637676	0.033862095	-0.045620665	1.127156	-0.5119073	-0.11182725	0.25689033	0.20744672	0.007810291	-1.4377418	-0.5925326	-0.12686664	0.026629623	2.9443915	0.18379255	-0.096443355	-0.67899144	-0.3944474	-0.013107572	1.1078033	1.3625056	0.07473678	-0.03557521	0.0071068686	0.46563378	-0.6161148	0.45297933	0.6248639	-2.0456097	0.9117417	-0.5781312	-0.36814237	0.0651611	0.5036305	-0.5822801	-0.09325	0.47829175	-0.18271446	-0.064797215	0.26692486	-0.4896356	0.51173973	1.1603135	-0.10252051	0.0013460913	0.1336499	-0.08514831	-0.24890837	0.0070881797	0.6305712	0.8007948	0.45354363	0.14181454	0.351922	0.16888402	-1.816605	0.83463305	1.4815899	-0.9118796	0.5297258	0.057814743	0.71669984	-0.64800614	-0.12026903	0.22781393	0.28986606	0.12079143	-0.54647297	-0.17358264	-0.17056389	0.106993094	-0.21848951	-0.07808668	0.08757061	-0.1903143	-0.02110862	0.10013733	-0.25788057	-0.0658011	0.26651546	0.7098546	-0.3113864	0.16903569	-0.686017	0.12679507	-1.5252324	-0.4455395	0.16487893	0.19473334	0.07036477	0.33208227	0.0
GSM3068466	0.4003307	-0.7722971	0.23271324	-0.40146333	-0.37161896	0.34534833	0.4918025	0.22047754	0.6881624	-0.7229749	-0.2477725	0.013481642	0.19241549	0.32185808	-0.062272325	-0.10606108	0.3685645	0.04509616	-0.088518105	0.55352265	-0.053748727	0.38623926	-0.054682437	0.26646727	-0.89049774	0.14836352	0.02323196	0.23729445	-1.1808741	2.1565182	-0.21976367	0.44870406	-0.079247706	0.35311675	0.06637873	-0.6976645	0.065915816	0.13872777	-0.04598642	0.22551626	1.1312944	-0.63560474	-0.2520162	0.23586509	-0.07140431	0.38473618	-1.6115512	-0.4575957	0.05771834	-0.015292411	2.7401507	0.091933265	0.39620283	0.37411904	-0.59197515	-0.19564097	1.0000774	0.9200177	-0.50935733	0.31561908	0.25897497	0.37645778	-0.60025644	0.22527428	0.62711054	-2.068738	1.1120238	-0.45820898	-0.33099708	-0.6841133	0.33451068	-0.37136102	0.08519413	0.06506742	0.38710937	0.13911091	-0.28991178	-0.54805917	0.68901914	1.3148624	-0.048387647	-0.19716537	-0.35126314	0.0027677778	-0.43913668	-0.22708586	0.42619357	0.4813269	0.17553824	0.014532596	0.088091046	0.48590517	-2.1346798	0.7803942	1.1178564	-1.0485237	0.569808	0.21106872	0.94094306	-0.88246864	0.15173277	0.089872636	0.28719085	0.17413124	-0.67245847	0.06482398	0.46751454	-0.05790746	-0.2349223	-0.16011412	-0.5181879	0.19833252	0.2688776	-0.05203862	-0.24628398	-0.29927456	0.36941862	0.8101357	-0.3985176	0.23131892	-1.1170899	0.11651893	-1.3827456	-0.6455477	0.04206855	0.24724	0.31205142	0.23807639	0.0
GSM3068467	-0.6592885	0.46197152	-0.5506395	-0.7058528	-0.47192088	0.034656093	0.5418062	0.28597704	0.81377566	-1.3116528	-0.4243686	0.0063280347	-0.55531704	-0.55707395	-0.16685419	-0.2923679	-0.65387243	-0.19565584	-0.106739804	-0.1830128	0.52575094	0.27660254	0.17835616	0.14760377	-0.7239323	0.38412553	-0.18662591	-0.05125469	-1.2765962	2.2971478	0.6676868	-0.081844926	-0.33092782	0.23194306	-0.013607566	-0.88859904	-0.29011026	-0.13971457	0.037933037	0.45071977	0.80102444	-0.72522163	-0.46977484	0.2921869	0.0751846	-0.3976748	-1.7509295	-0.5243094	0.16921677	-0.007865671	3.0290694	-0.058672093	-0.77070403	-0.025087573	-0.34808153	-0.11469392	1.0734249	0.8880959	1.1098399	-0.11732625	-0.43658176	-0.7395066	-1.0152502	0.30421355	0.65882164	-1.870705	0.9605701	-0.41461128	0.5778818	0.0057081184	0.57623255	-0.44730303	-0.05132772	0.1954065	-0.15475306	-0.028771523	-0.4251495	-0.01343885	0.6378257	1.4286218	-0.23882152	-0.093466125	0.15506269	0.11122733	0.75507814	0.124274276	0.6813598	0.5567148	0.33328074	0.33605993	0.20821907	0.2638772	-2.159738	0.766839	1.1864935	-0.53334814	0.73273075	0.29998496	0.966294	-0.80701923	0.037058577	-0.20876646	-0.07923487	0.19243535	-0.56938636	-0.019737067	-0.84419465	0.067218795	-0.11551844	0.114801	0.2033951	-0.47635674	-0.43460178	-0.13020352	-0.16922769	0.088409804	-0.050839055	1.0975996	0.50009257	-0.23939596	-0.78424984	-0.16243963	-1.734086	-0.83540875	0.23259228	0.42336553	-0.0833625	-0.048932314	0.0
GSM3068468	-0.16491172	-0.14710094	-1.0309701	-1.5119722	-0.2421365	0.061706327	0.5198142	0.16013978	0.5589028	-0.76774746	-0.27840167	-0.023060799	-1.1310354	-0.30562615	0.60272443	-0.05604167	0.25647426	0.48621207	0.21584964	-0.0056667714	0.1953415	0.38113576	-0.6982219	-0.04046304	-0.38246927	0.10209452	-0.041037343	-0.47034892	-1.2022661	2.2136874	0.58872974	-0.7452494	-0.18142131	0.13885793	-0.23390181	-0.73974246	-0.7006632	-0.7034284	-0.068711266	0.25738928	1.1399679	-0.37246424	-0.21597077	0.25562102	0.5257389	-0.5361282	-2.0221546	-0.47457367	-0.09371752	0.25407133	2.8457513	-0.14193732	-0.47886458	-0.40598798	-0.34984526	-0.3748749	1.4480789	1.2848006	0.8538746	-0.3881975	0.5137485	-0.52111983	-0.6722508	0.2333821	0.7713159	-2.0042255	1.1384966	-0.33199316	0.21647067	-0.2219156	0.4119374	-0.4856065	-0.03559526	0.30769736	0.3616461	-0.21146838	-1.8483603	0.74294895	0.47277942	1.2975497	0.32889363	-0.73442	0.058573026	0.051840294	0.8673417	0.11146861	0.36388272	0.29784074	0.082802095	0.12371384	0.18739586	0.10558246	-1.7094725	1.0198584	1.4498403	-0.554634	0.525154	-0.036202572	0.48158297	-0.68870175	0.38945708	-0.2518586	0.5766589	0.17562197	-0.34011427	0.1528493	0.3669322	0.34273535	-0.1138841	0.1288706	-0.40178618	0.11962032	-1.2531759	-1.1771995	0.65615004	0.4112066	-0.34544763	1.3447754	0.60488045	0.2283712	-0.9435639	-0.018388065	-1.5416379	-0.69496113	0.32557642	0.16760756	-0.029217746	0.15904474	0.0
GSM3068469	-0.4866336	0.44515383	0.19696984	0.28796417	-0.43237826	0.26729968	0.6073518	0.14329162	0.4791873	-0.7009583	-0.43286058	-0.042285122	-0.0019718106	-0.4869823	-0.11558586	0.037642326	-0.39127955	-0.14702515	-0.14840087	-0.4747445	0.19995609	-0.07741042	0.1667045	0.0657692	-0.77235425	0.22748575	0.122267194	0.0021044845	-1.1857877	2.3255548	0.18030353	0.05266027	0.16014811	-0.049856585	0.017011633	-0.87791824	0.49977672	-0.059654634	0.3210486	-0.04462256	1.2511158	-0.6552409	-0.34747735	0.38422093	0.12765597	-0.17549704	-1.5566531	-0.7735745	0.13971569	0.026525695	2.9754415	-0.04817443	-0.15524298	-0.33594018	-0.32650074	-0.14984031	0.9675674	1.0491196	0.18038413	-0.17060849	0.10495797	-0.15280706	-0.51241785	0.217969	0.81683624	-2.0376585	1.0940608	-0.52177054	0.3854265	0.2714685	0.5799321	-0.60610616	-0.22045465	0.04874311	-0.14461064	0.23779221	0.4306596	0.025699157	0.5715599	1.4270996	0.1195128	-0.30585617	-0.06525225	0.14330731	0.13215935	0.2926437	0.4488897	0.666996	0.39756653	0.007719465	0.27485153	0.23737393	-2.227334	0.7925707	0.9620812	-0.8893236	0.77008384	0.4546322	0.8230899	-0.92136854	0.03211858	-0.2125113	-0.37305456	-0.24835739	-0.4326252	-0.18851031	-0.3941124	-0.10496977	-0.24843861	0.08227591	0.4744523	-0.009215196	0.1855133	0.06066578	0.027789542	-0.06808003	0.4806155	1.1346048	0.19500138	-0.4331652	-0.9182204	0.2187119	-1.6322172	-0.67751586	-0.020347951	0.41483718	0.11161391	0.096393846	0.0
GSM3068470	-0.18579705	0.30506474	0.32160518	0.41815758	-0.36597085	0.19185801	0.6308847	0.3754251	0.40660566	-0.600272	-0.46489725	-0.075625494	0.2828702	-0.34607786	-0.30842552	0.31927422	-0.31012464	-0.39304888	-0.20439821	0.03251745	-0.0040105386	-0.06213142	0.4300626	0.05009448	-0.82861686	0.35097253	-0.31186563	0.31269377	-0.988188	2.2889261	-0.039087936	0.36594924	-0.08212338	0.022108326	-0.10487727	-0.9032004	-0.24675383	0.28226897	0.2745248	0.16385038	1.1201216	-0.33180952	-0.40710348	0.37302643	-0.33798945	0.021890614	-1.4845783	-0.5792539	-0.039430577	-0.0154532185	2.9867837	0.046704642	-0.3295327	0.07393102	-0.34306136	-0.1038883	0.9362557	1.1838487	0.029267082	0.3577188	-0.7361908	0.13161609	-0.49000272	0.16674282	0.6701603	-1.9858811	1.1127537	-0.36260098	0.21496044	0.2902629	0.60153437	-0.63122606	-0.061516907	0.16868557	-0.20161562	-0.14360674	0.971522	-0.51222175	0.52620965	1.2892609	-0.43676	0.34769177	-0.16867225	0.032251794	0.044587098	0.020923832	0.6195383	0.63408756	0.36423275	0.37221298	0.27743483	0.35599828	-1.6390287	1.0331447	1.0515486	-0.662773	0.8731446	0.23793079	0.84688073	-0.88557506	-0.32159075	-0.11624129	-0.17087363	0.16299142	-0.6589746	0.069522575	-0.70509017	-0.39395818	0.018498316	0.11817127	0.17399515	-0.5466355	0.1501401	0.7729882	-0.2776655	-0.1317086	0.14573084	1.0042796	-0.069641635	-0.044671588	-0.7421543	-0.0041322084	-1.6451644	-0.7151772	0.19127914	0.29435363	-0.03027359	0.17040426	0.0
GSM3068471	-0.3950156	0.045506142	-0.83218855	-0.75691956	-0.38296598	0.30049047	0.87679785	0.38766804	0.9352262	-0.98482025	-0.3161734	0.23570266	-0.13593124	-0.031103687	-0.26014966	-0.30052012	0.07403653	-0.055987433	-0.19250494	0.31666285	0.18890966	-0.113826916	-0.23241705	0.09854304	-0.7888185	0.20663053	-0.04094146	-0.05386344	-0.9798938	2.4959822	0.6617686	-0.3076362	-0.25662473	0.33333784	-0.20724054	-1.0106436	-0.53206575	-0.43656945	0.26784196	0.5539655	1.2057734	-0.75853014	-0.29175976	0.36058575	-0.039533444	-0.16940123	-1.6448456	-0.5015638	-0.19899184	-0.053579077	2.954336	0.1253524	-0.11766072	0.1599192	-0.3630749	-0.30187905	0.73685545	0.99462247	0.40170664	0.07284658	0.02793567	-0.3316313	-0.7606944	0.5099764	0.5528711	-1.9065015	1.0287243	-0.20887586	0.6624689	-0.55739856	0.5950987	-0.7033491	-0.2218192	0.25698796	0.3475474	0.280182	-0.72744364	0.36604545	0.6742214	1.2968279	0.29572156	-0.6194501	-0.041821938	0.14815933	0.30975002	-0.33654246	0.6742742	0.65013224	0.49399722	0.3974583	0.24444048	0.4534029	-1.6381109	0.86551464	1.0566201	-0.6083764	0.80551976	0.20416054	1.0524251	-0.91760886	0.10163292	0.11233866	0.26644522	0.100473784	-0.5538714	0.07077427	-0.054179072	0.21483523	0.09270589	-0.03501238	-0.3826951	-0.021705844	-0.36818004	-0.48437244	0.0399177	-0.111760795	0.20648307	1.0900028	0.17220883	-0.39534712	-0.9506198	-0.19725673	-1.5523186	-0.6448815	0.14645235	0.41688564	0.2586124	0.19365327	0.0
GSM3068472	0.56077087	0.23155579	0.46753776	0.8331344	-0.35115734	0.07804541	0.31482098	0.16068436	0.26144198	-0.37047657	-0.5594272	-0.19920665	0.30075485	0.6595539	0.4389016	-0.4366343	0.34086114	0.74171346	0.25346842	-0.38990924	-0.013281469	0.44959304	-0.37465075	0.28176647	-0.9323792	0.21509837	0.31108528	0.16411225	-1.410458	1.9416767	0.03409311	-0.24801405	0.36076465	-0.06766559	0.089247346	-0.94092333	0.71925837	0.31743032	-0.8305715	-0.52927774	1.1390378	-0.70383537	-0.2485056	0.38352573	0.28254464	0.78238904	-1.8921514	-0.68591535	-0.22268537	0.22594614	2.6629002	0.12631615	0.8424843	0.2693561	-0.26968604	-0.2781169	1.2037078	1.1055025	-0.9019222	-0.34953603	0.48246628	-0.26036632	-0.43067393	-0.11574581	0.71350515	-1.827635	1.2640386	-0.41953745	0.11223509	0.21266487	0.64478076	-0.38756195	-0.04259007	0.00086801604	-0.2871515	0.56522506	-0.17511715	0.38630068	0.5084627	1.3885758	1.002023	0.09019837	0.043596163	-0.4839421	-0.29509002	-0.66358936	0.2283916	0.6414164	0.29399133	0.3069779	0.19617562	0.13691172	-1.9522859	1.0804443	1.2053812	-1.053145	0.71417475	0.12225364	0.8190605	-0.8200998	-0.19115509	0.3731603	-0.0049930546	-0.09885662	-0.64576215	-0.12105797	0.36207053	0.15403439	-0.2675145	0.32071707	-0.2724652	0.39063162	0.76473963	-0.112407565	0.5007526	0.057867225	0.4089488	0.90572613	-0.32319722	-0.019094642	-1.0728501	0.119598806	-1.7453957	-0.8100702	0.1639035	0.35233197	0.03296566	0.14789373	0.0
GSM3068473	-0.19009335	0.1617282	-0.46743843	-0.49555197	-0.6217492	0.35922736	0.6388351	0.56087625	0.52219194	-0.9395169	-0.24425569	-0.014910201	-0.20181365	-0.2363285	-0.24174874	-0.16799696	-0.36374885	-0.012824377	-0.16189186	-0.07098742	0.36000094	-0.010669904	-0.05952427	-0.13714965	-0.92686224	0.18439873	-0.13911545	0.21226153	-1.1623688	2.09186	0.50153	-0.22266401	-0.36252275	0.2024714	0.1363197	-1.117414	-0.52899724	-0.4044333	0.14555709	0.2535856	1.1511297	-0.49263448	-0.56145734	0.63757455	-0.3323938	-0.4458724	-1.7134012	-0.72355056	-0.20398648	-0.1226583	2.9348655	0.012639311	-0.22769111	0.3758748	-0.36974776	-0.26237988	0.97939587	0.9345429	0.5910164	0.17863157	-0.01477855	-0.73140585	-0.5935405	0.39444208	0.6048025	-1.8605722	1.051088	-0.21693408	0.6442018	-0.16230793	0.6805111	-0.53635734	-0.17810902	0.5354012	0.15771356	0.26779512	-0.20167673	0.5446949	0.26369396	0.98635536	0.060515124	-0.13197297	0.31897253	0.40877137	0.531865	-0.10226777	0.8348255	0.7164584	0.3878283	0.34925357	0.17372833	0.40833586	-1.6196325	0.6061386	1.2204891	-0.53596556	1.0146469	0.28961918	1.1198632	-1.0966513	0.18829064	-0.14882739	-0.17796361	-0.16068873	-0.9056077	-0.0036547475	-0.36452326	-0.0062575215	0.012102674	-0.49918777	-0.008775546	-0.11075424	-0.13557465	-0.35625547	-0.23220687	-0.08942783	0.020609898	1.1437005	0.58825463	-0.41764992	-0.700704	-0.20309238	-1.4992821	-0.5634791	0.4230282	0.43636394	0.15977606	0.14080155	0.0
